Station number,Station name,Region,Rainfall,Latitude,Longitude,Elevation
58070,ROSEBANK (REPENTANCE CREEK),NSW,34.4,-28.64,153.41,75
9248,MOONDAH BROOK,WA,33.4,-31.33,115.95,113
9987,PAYNEDALE ALERT,WA,33.2,-33.64,115.70,100
9871,WINDY HARBOUR,WA,32.2,-34.84,116.03,5
58162,NASHUA (WILSONS RIVER),NSW,32.0,-28.73,153.46,30
58204,BOAT HARBOUR (ROUS RIVER),NSW,32.0,-28.32,153.35,30
91109,YOLLA (SEA VIEW),TAS,31.8,-41.14,145.71,343
9971,ACTON PARK,WA,31.4,-33.78,115.41,120
9225,PERTH METRO,WA,31.2,-31.92,115.87,25
9274,MINSTON PARK,WA,31.0,-31.26,116.13,298
9752,DENBARKER,WA,31.0,-34.75,117.34,205
9636,COWARAMUP,WA,30.9,-33.84,115.07,120
8300,TABLETOP,WA,30.8,-29.07,115.09,240
40405,HERVEY BAY AIRPORT,QLD,30.8,-25.32,152.88,13
9629,MARRIWOOD,WA,30.6,-33.45,115.73,30
91321,LOONGANA (SERENDIPITY),TAS,30.6,-41.40,145.93,468
13040,TJUKAYIRLA,WA,30.3,-27.15,124.57,450
9978,JINDONG,WA,30.0,-33.76,115.21,42
9991,DONNYBROOK EAST,WA,30.0,-33.57,115.84,120
9988,HAPPY VALLEY,WA,29.8,-33.68,115.62,100
9018,GINGIN,WA,29.6,-31.35,115.90,92
9776,ASTON DOWNS ALERT,WA,29.6,-33.79,115.32,80
9990,BOYANUP NORTH,WA,29.6,-33.48,115.74,43
13011,WARBURTON AIRFIELD,WA,29.4,-26.13,126.58,459
22835,PARNDANA (TURKEY LANE),SA,29.4,-35.73,137.12,201
59045,MELDRUM (COOLAWARRAH),NSW,29.0,-30.36,152.49,1230
9585,NANNUP,WA,28.9,-33.98,115.77,100
57124,POINT LOOKOUT,NSW,28.8,-30.48,152.40,1550
60153,MOPPY LOOKOUT (BARRINGTON TOPS),NSW,28.8,-31.89,151.56,1340
71032,THREDBO AWS,NSW,28.8,-36.49,148.29,1957
8304,MOASCAR,WA,28.6,-28.96,114.95,254
9965,BUNBURY,WA,28.4,-33.36,115.64,5
109513,MUMBALLUP ORGANICS,WA,28.4,-33.54,116.12,246
9258,ANKETELL,WA,28.2,-32.22,115.88,18
9575,MARRADONG,WA,28.2,-32.86,116.45,250
9613,WARNER GLEN,WA,27.8,-34.14,115.23,30
13015,CARNEGIE,WA,27.2,-25.80,122.98,448
8168,HOWATHARRA,WA,27.0,-28.54,114.62,70
9803,CHAPMAN HILL,WA,27.0,-33.78,115.34,60
9037,BADGINGARRA RESEARCH STN,WA,26.8,-30.34,115.54,275
9617,BRIDGETOWN,WA,26.8,-33.95,116.13,179
58161,GRAFTON AIRPORT AWS,NSW,26.6,-29.76,153.03,25
71041,THREDBO VILLAGE,NSW,26.4,-36.50,148.30,1380
9842,JARRAHWOOD,WA,26.2,-33.80,115.67,130
109519,VASSE,WA,26.2,-33.69,115.29,-999
8295,STRAWBERRY,WA,26.0,-29.21,115.26,105
9276,NAMBUNG STATION,WA,26.0,-30.57,115.22,42
9215,SWANBOURNE,WA,25.4,-31.96,115.76,41
109518,PRESTON VALE VINEYARD,WA,25.4,-33.56,116.04,109
9976,PINJARRA SOUTH,WA,25.2,-32.65,115.86,13
88103,MARYSVILLE GOLF COURSE,VIC,25.2,-37.50,145.75,400
58040,MULLUMBIMBY (FAIRVIEW FARM),NSW,25.0,-28.55,153.49,15
60165,MOORAL CREEK (THE DEN),NSW,25.0,-31.66,152.37,649
109517,SOMME CREEK,WA,25.0,-33.96,116.14,180
10307,QUADNEY,WA,24.8,-31.79,116.63,310
72161,CABRAMURRA SMHEA AWS,NSW,24.8,-35.94,148.38,1482
82112,OVENS RIVER @ EUROBIN,VIC,24.8,-36.65,146.86,-999
9917,PERIVALE ORCHARD,WA,24.6,-33.71,115.79,100
11052,FORREST,WA,24.6,-30.85,128.11,159
40848,LOWER SPRINGBROOK ALERT,QLD,24.6,-28.21,153.27,705
109509,CHAPMAN HILL ROAD CB2,WA,24.6,-33.74,115.35,29
109521,WITCHCLIFFE WEST,WA,24.6,-34.03,115.06,85
9500,ALBANY,WA,24.5,-35.03,117.88,3
9967,NARRIKUP WEST,WA,24.4,-34.78,117.65,130
10304,NUNILE,WA,24.4,-31.49,116.54,280
60085,YARRAS (MOUNT SEAVIEW),NSW,24.2,-31.39,152.25,155
9278,YOONGARILLUP TBRG,WA,24.0,-33.74,115.47,54
10311,YORK,WA,23.8,-31.90,116.77,179
9518,CAPE LEEUWIN,WA,23.6,-34.37,115.14,13
18106,NULLARBOR,SA,23.6,-31.45,130.90,64
9984,VASSE HWY CB3,WA,23.4,-33.70,115.40,-999
48256,WEILMORINGLE (CARINGLE) COMPARISON,NSW,23.4,-29.35,146.81,126
40854,LOGAN CITY WATER TREATMENT PLANT,QLD,23.2,-27.68,153.20,10
59146,KALANG (KOOROOWI (SHARABEL)),NSW,23.0,-30.47,152.82,86
8276,IRWIN HOUSE,WA,22.6,-29.22,115.11,60
18137,PORT LINCOLN (WESTMERE),SA,22.6,-34.83,135.70,90
23719,GUMERACHA,SA,22.6,-34.82,138.89,339
91332,RAILTON (DOWBIGGIN STREET),TAS,22.6,-41.35,146.42,75
8100,NORTHAMPTON,WA,22.4,-28.35,114.64,180
9964,ROCKY GULLY,WA,22.2,-34.57,117.01,250
9587,NEWBICUP,WA,22.0,-34.00,116.43,240
10923,WILLIAMS NORTH,WA,22.0,-33.00,116.85,298
15511,CURTIN SPRINGS,NT,22.0,-25.31,131.76,490
40607,SPRINGBROOK ROAD,QLD,22.0,-28.20,153.27,697
58148,LILLIAN ROCK (WILLIAMS ROAD),NSW,22.0,-28.53,153.15,345
10308,TOODYAY EAST,WA,21.8,-31.55,116.49,150
36034,BLACKALL AIRPORT,QLD,21.8,-24.43,145.43,281
8028,NABAWA,WA,21.4,-28.50,114.79,145
10917,WANDERING,WA,21.4,-32.67,116.67,275
83001,OVENS RIVER @ HARRIETVILLE,VIC,21.2,-36.88,147.06,-999
83010,EUROBIN,VIC,21.2,-36.63,146.86,266
9831,KING RIVER,WA,21.0,-34.92,117.89,25
22823,CAPE BORDA,SA,21.0,-35.75,136.60,158
32167,EURAMO TM,QLD,21.0,-17.99,145.94,10
91219,SCOTTSDALE (WEST MINSTONE ROAD),TAS,21.0,-41.17,147.49,198
8088,MINGENEW,WA,20.8,-29.19,115.44,153
9999,ALBANY AIRPORT,WA,20.8,-34.94,117.82,68
91338,MOUNT ARTHUR SUMMIT,TAS,20.8,-41.28,147.29,1180
10132,MOUNT HARDEY,WA,20.6,-31.92,116.82,283
8286,WUNDI,WA,20.4,-28.28,114.68,200
10111,NORTHAM,WA,20.4,-31.65,116.66,170
91365,SPRENT,TAS,20.2,-41.26,146.16,270
8298,TIBRADDEN,WA,20.0,-28.76,114.94,265
10614,NARROGIN,WA,20.0,-32.93,117.18,338
58180,NIMBIN (GOOLMANGAR CREEK),NSW,20.0,-28.61,153.21,60
58206,CORNDALE (COOPERS CREEK),NSW,20.0,-28.72,153.36,25
59138,BOWRA SUGARLOAF,NSW,20.0,-30.66,152.65,870
58007,BYRON BAY (JACARANDA DRIVE),NSW,19.8,-28.64,153.59,3
59140,DORRIGO (OLD CORAMBA RD),NSW,19.8,-30.34,152.72,746
91266,KIMBERLEY (MERSEY RIVER),TAS,19.8,-41.40,146.50,60
83084,FALLS CREEK,VIC,19.6,-36.87,147.28,1765
109516,BODDINGTON NORTH,WA,19.6,-32.78,116.48,216
140010,TIN CAN BAY (DEFENCE),QLD,19.6,-25.94,152.96,31
8057,GREEN GROVE,WA,19.4,-29.55,115.07,30
83085,MOUNT HOTHAM,VIC,19.2,-36.98,147.13,1849
91357,EDITH CREEK (BIRTHDAY CREEK),TAS,19.2,-40.98,145.09,50
9997,RAVENSCLIFFE ALERT,WA,19.0,-33.76,115.84,200
40939,BEAUDESERT ALERT,QLD,19.0,-27.97,152.99,50
58199,ROCK VALLEY (LEYCESTER CREEK),NSW,19.0,-28.74,153.16,20
91153,BARRINGTON POST OFFICE,TAS,19.0,-41.34,146.28,264
109508,DOYLE ROAD CB1,WA,19.0,-33.74,115.34,33
8299,ARRADALE,WA,18.8,-29.11,115.32,270
91355,BURNIE (PARK GROVE),TAS,18.8,-41.05,145.88,99
10542,DARKAN,WA,18.6,-33.34,116.74,280
10919,WILGARRA,WA,18.6,-32.69,116.61,399
91291,SHEFFIELD SCHOOL FARM,TAS,18.6,-41.39,146.32,277
9739,TELINA DOWNS,WA,18.4,-33.68,122.33,170
18115,NEPTUNE ISLAND,SA,18.4,-35.34,136.12,32
58216,BYRON BAY (CAPE BYRON AWS),NSW,18.4,-28.64,153.64,95
68228,BELLAMBI AWS,NSW,18.4,-34.37,150.93,10
10129,MOUNT NODDY,WA,18.2,-31.59,116.89,-999
10556,COONDEE,WA,18.2,-32.48,116.81,262
22817,FLINDERS CHASE (ROCKY RIVER),SA,18.2,-35.95,136.74,61
58077,GRAFTON RESEARCH STN,NSW,18.2,-29.62,152.96,25
91055,LORINNA,TAS,18.2,-41.54,146.14,259
4041,WARRAWAGINE,WA,18.0,-20.85,120.70,159
9515,BUSSELTON SHIRE,WA,18.0,-33.66,115.35,4
22841,KINGSCOTE AERO,SA,18.0,-35.71,137.52,6
22843,PARNDANA CFS AWS,SA,18.0,-35.79,137.25,165
33008,BYFIELD CHILDS ROAD,QLD,18.0,-22.85,150.65,40
35073,TOLINESS STATION,QLD,18.0,-25.32,146.02,335
61336,PUTTY (THE GIBBA),NSW,18.0,-33.16,150.68,330
91194,MOUNT VICTORIA (UNA PLAIN),TAS,18.0,-41.35,147.80,710
8200,ERADU,WA,17.8,-28.69,115.04,160
8273,ARENA,WA,17.8,-29.36,115.45,280
35065,SPRINGSURE COMET ST,QLD,17.8,-24.12,148.09,345
9193,ROTTNEST ISLAND,WA,17.6,-32.01,115.50,43
9264,TAMALA PARK (MINDARIE),WA,17.6,-31.71,115.72,20
91107,WYNYARD AIRPORT,TAS,17.6,-41.00,145.73,12
9131,JURIEN BAY,WA,17.4,-30.31,115.03,2
91198,MOUNT BARROW (SOUTH BARROW),TAS,17.4,-41.39,147.42,1313
40983,BEAUDESERT DRUMLEY STREET,QLD,17.2,-27.97,152.99,48
61413,CAREYS PEAK (BARRINGTON TOPS),NSW,17.2,-32.05,151.47,1430
10920,MOUNT WESTDALE,WA,17.0,-32.27,116.67,360
63293,OBERON (JENOLAN CAVES ROAD),NSW,17.0,-33.74,149.88,1190
9256,GARDEN ISLAND HSF,WA,16.8,-32.24,115.68,6
70349,MOUNT GININI AWS,NSW,16.8,-35.53,148.77,1760
32064,PALUMA IVY COTTAGE,QLD,16.7,-19.01,146.21,878
22049,STENHOUSE BAY,SA,16.6,-35.28,136.94,42
90194,DARTMOOR,VIC,16.6,-37.92,141.26,51
91364,BOAT HARBOUR,TAS,16.4,-40.93,145.60,184
109511,PORONGURUPS,WA,16.4,-34.66,117.89,250
58137,KINGSCLIFF (WORAM PLACE),NSW,16.3,-28.26,153.58,5
97054,ZEEHAN (WEST COAST PIONEERS MUSEUM),TAS,16.3,-41.88,145.34,175
22807,KINGSCOTE,SA,16.1,-35.66,137.64,18
13018,WONGAWOL,WA,16.0,-26.12,121.94,500
18188,COFFIN BAY,SA,16.0,-34.63,135.47,12
32161,CORSIS ALERT,QLD,16.0,-17.60,145.90,48
40126,MARYBOROUGH,QLD,16.0,-25.51,152.72,9
58208,CASINO AIRPORT AWS,NSW,16.0,-28.88,153.06,21
58212,EVANS HEAD RAAF BOMBING RANGE AWS,NSW,16.0,-29.18,153.40,63
18094,WIRRULLA,SA,15.8,-32.40,134.53,79
18230,COFFIN BAY (POINT AVOID),SA,15.8,-34.68,135.34,35
8301,BARBERTON EAST,WA,15.6,-30.75,116.13,325
10089,LONG FOREST,WA,15.6,-31.35,116.65,299
97047,SAVAGE RIVER MINE,TAS,15.6,-41.49,145.21,352
58193,EUNGELLA (OXLEY RIVER),NSW,15.5,-28.35,153.29,20
9877,LUDLOW,WA,15.4,-33.60,115.50,15
10134,WATTENING,WA,15.4,-31.31,116.52,240
58012,YAMBA PILOT STATION,NSW,15.4,-29.43,153.36,27
59148,KALANG (SPICKETTS CK (NOONANNIE)),NSW,15.4,-30.56,152.87,60
8309,BELLENDAINE,WA,15.2,-29.30,115.66,240
9513,BRUNSWICK JUNCTION,WA,15.2,-33.21,115.85,30
10043,CALJIE,WA,15.2,-31.77,116.92,219
18054,PORT KENNY (MOUNT COOPER),SA,15.2,-33.03,134.70,150
18079,STREAKY BAY,SA,15.2,-32.81,134.20,45
40717,COOLANGATTA,QLD,15.2,-28.17,153.51,4
91305,TARGA (MOUNTAIN VIEWS),TAS,15.2,-41.31,147.38,410
18019,COULTA,SA,15.1,-34.39,135.47,75
9635,FRANKLAND,WA,15.0,-34.36,117.08,230
92051,PYENGANA (FOREST LODGE ROAD),TAS,15.0,-41.27,147.95,155
10163,JAROMA,WA,14.8,-31.77,117.14,265
51162,WALGETT (BREWON AWS),NSW,14.8,-30.24,147.53,130
10009,BOLGART,WA,14.6,-31.27,116.51,240
84147,BAIRNSDALE (MITCHELL RIVER @ ROSEHILL),VIC,14.6,-37.82,147.57,20
58023,MCLEANS RIDGES (LASCOTT DRIVE),NSW,14.5,-28.79,153.40,120
8237,TENINDEWA,WA,14.4,-28.69,115.28,260
91290,GOLDEN VALLEY (BRODIES ROAD),TAS,14.4,-41.63,146.70,487
10626,PINGELLY,WA,14.2,-32.53,117.08,297
82167,GRETA WEST,VIC,14.2,-36.53,146.22,174
18063,PENONG,SA,14.0,-31.93,133.01,16
18099,YEELANNA,SA,14.0,-34.13,135.73,95
40981,BURLEIGH WATERS ALERT,QLD,14.0,-28.08,153.43,-999
60164,YARROWITCH (RUSHBROOK),NSW,14.0,-31.35,152.01,1168
61431,MURRURUNDI (HAYDON STREET),NSW,14.0,-31.77,150.84,467
68160,CAMPBELLTOWN (KENTLYN (GEORGES RIVER ROA,NSW,14.0,-34.05,150.88,115
68218,WATTAMOLLA (GRIFFITHS),NSW,14.0,-34.72,150.65,140
82163,CARBOOR UPPER,VIC,14.0,-36.64,146.55,298
85042,JINDIVICK,VIC,14.0,-38.02,145.90,260
22018,WAROOKA,SA,13.9,-34.99,137.40,53
83058,HALLS (BUCKLAND RIVER AT TWELVE MILE),VIC,13.8,-36.85,146.86,500
85291,MOUNT BAW BAW,VIC,13.8,-37.84,146.27,1561
8137,WONGAN HILLS,WA,13.6,-30.89,116.72,283
10511,WICKEPIN SOUTH,WA,13.6,-32.80,117.50,380
10530,CHAMINGUP,WA,13.6,-33.91,117.10,320
10634,REDLANDS,WA,13.6,-32.31,116.77,260
84140,NICHOLSON WINERY,VIC,13.6,-37.80,147.76,42
91292,SMITHTON AERODROME,TAS,13.6,-40.83,145.08,8
8308,TARDUN HILL,WA,13.4,-28.80,115.76,340
23875,PARAWA (SECOND VALLEY FOREST AWS),SA,13.4,-35.57,138.29,341
84144,MOUNT NOWA NOWA,VIC,13.4,-37.69,148.09,350
86213,ROSEBUD (COUNTRY CLUB),VIC,13.4,-38.38,144.90,20
8305,PORT DENISON,WA,13.2,-29.28,114.95,20
8315,GERALDTON AIRPORT,WA,13.2,-28.80,114.70,30
9977,MANDURAH,WA,13.2,-32.52,115.71,3
85280,MORWELL (LATROBE VALLEY AIRPORT),VIC,13.2,-38.21,146.47,56
8143,YANDANOOKA,WA,13.0,-29.29,115.63,210
9033,NEW NORCIA,WA,13.0,-30.97,116.22,220
10286,CUNDERDIN AIRFIELD,WA,13.0,-31.62,117.22,217
18195,MINNIPA PIRSA,SA,13.0,-32.84,135.15,165
58186,NORTH MURWILLUMBAH (TWEED RIVER),NSW,13.0,-28.33,153.40,-999
63295,BLACKHEATH (WOMBAT STREET),NSW,13.0,-33.63,150.28,1030
91366,JACKEYS MARSH,TAS,13.0,-41.68,146.68,489
9279,CANTERBURY,WA,12.8,-31.00,116.23,304
10230,WAEEL,WA,12.8,-31.62,117.06,-999
68263,HOLSWORTHY DEFENCE AWS,NSW,12.8,-34.08,150.90,165
84084,MALLACOOTA,VIC,12.8,-37.60,149.73,22
91267,MEANDER (MEANDER RIVER),TAS,12.8,-41.65,146.62,292
10026,GOODLANDS,WA,12.6,-30.06,117.14,310
67108,BADGERYS CREEK AWS,NSW,12.6,-33.90,150.73,81
72169,TUMBARUMBA (WONDALMA),NSW,12.6,-35.71,148.00,675
86373,RHYLL,VIC,12.6,-38.46,145.31,13
38035,TRINIDAD,QLD,12.5,-25.59,143.89,255
58079,PILLAR VALLEY,NSW,12.5,-29.75,153.11,15
9633,TAMAR,WA,12.4,-34.86,118.11,90
10515,BEVERLEY,WA,12.4,-32.11,116.92,199
55136,WOOLBROOK (WOOLBROOK ROAD),NSW,12.4,-30.97,151.35,925
63039,KATOOMBA (FARNELLS RD),NSW,12.4,-33.71,150.30,1017
72043,TUMBARUMBA POST OFFICE,NSW,12.4,-35.78,148.01,645
82018,UPLANDS (GIBBO RIVER PARK),VIC,12.4,-36.77,147.70,610
7501,NARLOO,WA,12.2,-27.88,116.26,337
8202,BINDI BINDI NORTH,WA,12.2,-30.62,116.38,315
10524,BROOKTON,WA,12.2,-32.37,117.01,250
10582,KOJONUP,WA,12.2,-33.83,117.16,305
10908,YANGEDINE,WA,12.2,-32.03,116.87,260
44057,NIVE DOWNS,QLD,12.2,-25.50,146.54,393
82105,WHITFIELD (KING RIVER AT CHESHUNT),VIC,12.2,-36.83,146.40,293
82158,EDI UPPER (BLACK RANGE TROUT FARM),VIC,12.2,-36.75,146.54,-999
97091,QUEENSTOWN (SOUTH QUEENSTOWN),TAS,12.2,-42.10,145.55,118
84150,LAKES ENTRANCE (EASTERN BEACH ROAD),VIC,12.1,-37.87,148.01,4
8025,CARNAMAH,WA,12.0,-29.69,115.89,268
8060,SOUTH HOLMWOOD,WA,12.0,-29.04,115.55,240
8139,WUBIN,WA,12.0,-30.11,116.63,330
31187,TOPAZ ALERT,QLD,12.0,-17.47,145.73,689
55335,NUNDLE (MALONGA),NSW,12.0,-31.53,151.18,1200
58198,BALLINA AIRPORT AWS,NSW,12.0,-28.84,153.56,1
59128,MAJORS CREEK (MOPARRABAH (PARRABEL CREEK,NSW,12.0,-30.98,152.51,-999
60042,CRAVEN (LONGVIEW),NSW,12.0,-32.15,151.95,130
61415,DUNGOG (UPPER MYALL CREEK),NSW,12.0,-32.35,151.64,217
66176,AUDLEY (ROYAL NATIONAL PARK),NSW,12.0,-34.06,151.06,120
83095,ANGLERS REST (BUNDARRAH VALLEY),VIC,12.0,-37.00,147.41,790
85270,MITCHELL RIVER @ GLENALADALE,VIC,12.0,-37.76,147.37,40
8095,MULLEWA,WA,11.8,-28.54,115.51,268
9603,BUSSELTON AERO,WA,11.8,-33.68,115.40,16
9852,CHEYNE BEACH,WA,11.8,-34.89,118.40,60
61346,HUNTER SPRINGS (WONDECLA),NSW,11.8,-31.86,151.44,1235
85009,TRARALGON EPA,VIC,11.8,-38.20,146.53,-999
91227,DELORAINE RAILWAY BRIDGE (MEANDER RIVER),TAS,11.8,-41.53,146.66,240
94041,MAATSUYKER ISLAND LIGHTHOUSE,TAS,11.8,-43.66,146.27,147
8251,KALBARRI,WA,11.7,-27.71,114.17,6
8320,DAISY DOWNS,WA,11.6,-28.38,115.46,294
13017,GILES METEOROLOGICAL OFFICE,WA,11.6,-25.03,128.30,598
18083,WUDINNA AERO,SA,11.6,-33.04,135.45,86
40068,DOUBLE ISLAND POINT LIGHTHOUSE,QLD,11.6,-25.93,153.19,96
40861,SUNSHINE COAST AIRPORT,QLD,11.6,-26.60,153.09,3
8321,TALLERING TBRG,WA,11.4,-28.38,115.85,319
10058,GOOMALLING,WA,11.4,-31.30,116.83,239
18171,MOUNT HOPE (FAIRVIEW),SA,11.4,-34.14,135.33,60
18217,CUMMINS AERO,SA,11.4,-34.25,135.71,60
58207,BUSBYS FLAT,NSW,11.4,-29.04,152.81,105
58214,LISMORE AIRPORT AWS,NSW,11.4,-28.83,153.26,9
70350,GINNINDERRA (CHARNWOOD (ACT)),NSW,11.4,-35.21,149.01,-999
73007,BURRINJUCK DAM,NSW,11.4,-35.00,148.60,390
8302,WONGAN HILLS NORTH,WA,11.2,-30.85,116.72,341
9280,LANCELIN (DEFENCE),WA,11.2,-30.84,115.23,3
10075,MOUNT GIBSON,WA,11.2,-29.61,117.41,355
26021,MOUNT GAMBIER AERO,SA,11.2,-37.75,140.77,63
33308,SAMUEL HILL AERO,QLD,11.2,-22.74,150.66,31
86079,MORNINGTON,VIC,11.2,-38.24,145.07,60
91351,GLENGARRY (GINNS ROAD),TAS,11.2,-41.38,146.82,217
8157,CANNA,WA,11.0,-28.90,115.86,340
8316,YALLALIE BASIN,WA,11.0,-30.38,115.85,274
10000,AMERY ACRES,WA,11.0,-31.17,117.07,340
10831,GLENROSE,WA,11.0,-33.48,117.61,330
12083,WESTONIA,WA,11.0,-31.30,118.70,350
18046,LOCK,SA,11.0,-33.57,135.76,147
40761,WOLFFDENE ALERT,QLD,11.0,-27.78,153.19,0
58129,KUNGHUR (THE JUNCTION),NSW,11.0,-28.47,153.25,61
58201,TUNCESTER (LEYCESTER CREEK),NSW,11.0,-28.80,153.24,10
68024,DARKES FOREST (KINTYRE),NSW,11.0,-34.23,150.91,370
74272,KAPOOKA (DEFENCE),NSW,11.0,-35.13,147.25,187
83090,OMEO,VIC,11.0,-37.10,147.60,690
9579,OAKE MARSH FARM,WA,10.9,-33.76,122.07,60
10076,KONNONGORRING,WA,10.8,-31.06,116.73,240
10245,BERRING,WA,10.8,-31.30,116.90,257
22046,EDITHBURGH,SA,10.8,-35.11,137.74,6
51164,GIRILAMBONE (OKEH) AWS,NSW,10.8,-31.08,146.93,178
55046,PINE RIDGE (BILLABONG),NSW,10.8,-31.53,150.44,340
61392,MURRURUNDI GAP AWS,NSW,10.8,-31.74,150.79,729
84145,ORBOST,VIC,10.8,-37.69,148.47,63
90197,MOUNT RICHMOND (BLACKS ROAD),VIC,10.8,-38.15,141.38,131
8121,THREE SPRINGS,WA,10.6,-29.53,115.76,249
8317,ANRO TBRG,WA,10.6,-30.36,116.29,320
10527,BULYEE,WA,10.6,-32.37,117.52,264
23704,BELAIR (STATE FLORA NURSERY),SA,10.6,-35.01,138.65,305
59054,GLENREAGH (CORAMBA STREET),NSW,10.6,-30.05,152.98,67
63028,FAULCONBRIDGE (ST GEORGES CRESCENT),NSW,10.6,-33.69,150.53,460
83032,WHITLANDS (BURDER\'S LANE),VIC,10.6,-36.85,146.32,816
96033,LIAWENEE,TAS,10.6,-41.90,146.67,1057
8310,SOUTH HOLMWOOD ALERT,WA,10.4,-29.03,115.55,260
26067,MOUNT SCHANK (JETHIA),SA,10.4,-37.96,140.77,21
40856,RAINBOW BEACH,QLD,10.4,-25.90,153.09,14
85281,TRARALGON CREEK AT KOORNALLA,VIC,10.4,-38.32,146.53,90
88154,GLENBURN (HIGHWOOD TBRG),VIC,10.4,-37.39,145.48,313
8113,RIVERSIDE,WA,10.2,-27.83,114.74,200
10635,RIVERDALE,WA,10.2,-33.79,116.91,260
18219,PUNTABIE (MUDABIE),SA,10.2,-32.18,134.08,52
48255,LIGHTNING RIDGE AIRPORT,NSW,10.2,-29.45,147.98,164
91223,MARRAWAH,TAS,10.2,-40.91,144.71,107
91331,KENNAOOK/CAPE GRIM,TAS,10.2,-40.68,144.69,86
200288,NORFOLK ISLAND AERO,NSW,10.2,-29.04,167.94,112
8037,COOROW,WA,10.1,-29.88,116.02,267
8013,BOWGADA,WA,10.0,-29.33,116.14,300
10040,DOODLAKINE,WA,10.0,-31.61,117.88,251
10061,HAPPY VALLEY,WA,10.0,-31.14,116.96,300
10503,ARDATH,WA,10.0,-32.05,118.07,280
10627,PINGRUP,WA,10.0,-33.53,118.51,280
10912,YEALERING EAST,WA,10.0,-32.59,117.64,286
11003,EUCLA,WA,10.0,-31.68,128.90,93
31181,BARTLE VIEW ALERT,QLD,10.0,-17.55,145.72,580
40881,AIR SEA RESCUE ALERT,QLD,10.0,-27.95,153.42,3
40945,ROUND MOUNTAIN ALERT,QLD,10.0,-28.07,152.93,62
48031,COLLARENEBRI (ALBERT ST),NSW,10.0,-29.54,148.58,145
55336,NUNDLE (HEAD OF THE PEEL),NSW,10.0,-31.60,151.14,-999
67061,ROSSMORE (SOUTH CREEK),NSW,10.0,-33.94,150.78,-999
90171,PORTLAND AIRPORT,VIC,10.0,-38.31,141.47,81
10092,MERREDIN,WA,9.8,-31.48,118.28,315
64025,COOLAH (BINNIA ST),NSW,9.8,-31.82,149.72,495
70032,FAIRLIGHT STATION,NSW,9.8,-35.23,148.91,610
91271,NUNAMARA OFFTAKE (ST PATRICKS RIVER),TAS,9.8,-41.40,147.30,351
96081,POATINA,TAS,9.8,-41.80,146.96,312
